transaction_id,client_id,industry,region,subscription_plan,onboarding_date,invoice_date,revenue_amount,service_cost,profit,payment_status,tenure_months,last_active_date,churn_flag,temp_id,Profit_margin,Outlier Flag,Year,Month
1,271,Finance,South,Basic,06-12-2022,20-01-2023,1872,7917,-6045,Overdue,1,20-01-2023,0,1,-323%,Outlier,2023,January
2,270,Education,East,Premium,16-02-2022,18-05-2022,1329,4642,577.01,Overdue,3,18-05-2022,0,2,43%,Normal,2022,May
3,135,Finance,North,Premium,25-06-2022,15-09-2023,6492,4358,2134,NA,14,15-09-2023,1,3,33%,Normal,2023,September
4,447,Education,South,Basic,27-06-2022,05-12-2023,6643,7007,-364,Paid,17,05-12-2023,0,4,-5%,Normal,2023,December
5,183,Education,East,Basic,10-04-2022,05-04-2023,7118,92,7026,NA,11,05-04-2023,1,5,99%,Normal,2023,April
6,341,Finance,East,Basic,01-05-2022,13-10-2022,9585,1926,7659,Paid,5,13-10-2022,0,6,80%,Normal,2022,October
7,413,Finance,West,Premium,20-12-2022,06-08-2023,7193,7314,-121,Pending,7,06-08-2023,0,7,-2%,Normal,2023,August
8,351,Education,South,Standard,04-07-2022,04-03-2023,2216,2945,-729,NA,8,04-03-2023,1,8,-33%,Normal,2023,March
9,284,Retail,South,Premium,09-11-2022,13-05-2024,9847,2008,7839,Paid,18,13-05-2024,1,9,80%,Normal,2024,May
11,266,Healthcare,North,Premium,18-08-2022,15-10-2023,9821,1857,7964,Paid,13,15-10-2023,0,10,81%,Normal,2023,October
12,251,Healthcare,East,Premium,08-06-2022,29-08-2023,2195,6020,-3825,Overdue,14,29-08-2023,0,11,-174%,Outlier,2023,August
15,306,Retail,South,Standard,05-02-2022,30-06-2023,4890,7735,-2845,Paid,16,30-06-2023,0,12,-58%,Normal,2023,June
16,292,Healthcare,East,Standard,06-02-2022,31-05-2023,2264,2826,-562,Paid,15,31-05-2023,1,13,-25%,Normal,2023,May
19,253,Healthcare,East,Premium,17-02-2022,18-06-2022,8230,7801,429,Pending,4,18-06-2022,1,14,5%,Normal,2022,June
20,279,Healthcare,East,Standard,23-01-2022,21-08-2023,8417,6632,1785,Paid,18,21-08-2023,0,15,21%,Normal,2023,August
21,399,Education,East,Standard,19-02-2022,11-04-2023,215,5335,-5120,Pending,13,11-04-2023,1,16,-2381%,Outlier,2023,April
27,338,Finance,North,Standard,09-12-2022,05-12-2023,9568,3741,5827,Overdue,11,05-12-2023,1,17,61%,Normal,2023,December
28,430,Retail,North,Standard,14-08-2022,03-11-2022,4967.93,7457,-8027,Pending,2,03-11-2022,0,18,-162%,Outlier,2022,November
29,228,Finance,South,Premium,19-01-2022,09-08-2022,3875,657,3218,Paid,6,09-08-2022,1,19,83%,Normal,2022,August
30,214,Healthcare,East,Premium,06-03-2022,17-06-2023,3813,6533,-2720,NA,15,17-06-2023,0,20,-71%,Normal,2023,June
31,314,Healthcare,West,Premium,10-01-2022,19-02-2023,1532,1477,55,Paid,13,19-02-2023,1,21,4%,Normal,2023,February
34,434,Retail,East,Standard,30-01-2022,14-05-2023,6526,1043,5483,Overdue,15,14-05-2023,1,22,84%,Normal,2023,May
35,305,Retail,South,Premium,05-12-2022,15-06-2024,4967.93,3024,-3085,Pending,18,15-06-2024,1,23,-62%,Normal,2024,June
37,336,Retail,West,Standard,12-04-2022,19-03-2023,4967.93,1624,577.01,Pending,11,19-03-2023,1,24,12%,Normal,2023,March
40,308,Education,South,Standard,23-01-2022,27-08-2022,2456,7694,-5238,Pending,7,27-08-2022,1,25,-213%,Outlier,2022,August
41,183,Healthcare,East,Premium,01-01-2022,14-06-2023,4967.93,4622,-5758,Overdue,17,14-06-2023,1,26,-116%,Outlier,2023,June
42,424,Finance,West,Standard,12-11-2022,28-04-2024,2322,3720,-1398,Paid,17,28-04-2024,1,27,-60%,Normal,2024,April
43,117,Finance,East,Basic,27-08-2022,08-04-2023,9757,4012.75,10664,NA,7,08-04-2023,0,28,109%,Outlier,2023,April
44,189,Retail,North,Basic,03-09-2022,03-07-2023,6863,5970,893,Pending,10,03-07-2023,0,29,13%,Normal,2023,July
45,482,Healthcare,West,Basic,16-07-2022,27-01-2023,8973,7330,1643,Paid,6,27-01-2023,0,30,18%,Normal,2023,January
48,208,Finance,East,Premium,30-09-2022,02-02-2023,4967.93,4012.75,148,NA,4,02-02-2023,1,31,3%,Normal,2023,February
49,245,IT,West,Basic,14-07-2022,13-01-2023,2763,3889,-1126,Overdue,5,13-01-2023,1,32,-41%,Normal,2023,January
50,327,Finance,North,Basic,22-08-2022,24-10-2022,4967.93,1478,-2427,Paid,2,24-10-2022,1,33,-49%,Normal,2022,October
52,404,Education,South,Standard,05-02-2022,19-06-2023,2986,7992,-5006,Paid,16,19-06-2023,0,34,-168%,Outlier,2023,June
53,100,IT,North,Standard,17-01-2022,21-05-2023,4967.93,5221,-5276,Paid,16,21-05-2023,1,35,-106%,Outlier,2023,May
55,114,Healthcare,West,Premium,21-04-2022,14-10-2022,4967.93,728,-2462,Overdue,5,14-10-2022,0,36,-50%,Normal,2022,October
56,412,Healthcare,South,Premium,20-12-2022,25-11-2023,9519,7896,1623,NA,11,25-11-2023,0,37,17%,Normal,2023,November
57,185,Healthcare,East,Standard,07-09-2022,29-07-2023,8456,5492,2964,Overdue,10,29-07-2023,0,38,35%,Normal,2023,July
58,419,Healthcare,East,Premium,13-06-2022,05-09-2022,6434,1994,4440,Pending,2,05-09-2022,1,39,69%,Normal,2022,September
59,159,Education,South,Standard,25-03-2022,25-04-2022,9712,4012.75,10385,NA,1,25-04-2022,1,40,107%,Outlier,2022,April
64,314,IT,South,Standard,31-07-2022,19-06-2023,5374,1628,3746,Pending,10,19-06-2023,1,41,70%,Normal,2023,June
65,329,IT,South,Standard,20-08-2022,27-09-2023,4967.93,4012.75,577.01,Overdue,13,27-09-2023,1,42,12%,Normal,2023,September
69,272,IT,North,Standard,10-12-2022,02-07-2023,7719,2116,5603,Pending,6,02-07-2023,0,43,73%,Normal,2023,July
72,112,Healthcare,South,Premium,14-06-2022,28-04-2023,6865,6378,487,Pending,10,28-04-2023,1,44,7%,Normal,2023,April
75,428,Healthcare,East,Premium,03-07-2022,05-03-2023,1051,892,159,Paid,8,05-03-2023,0,45,15%,Normal,2023,March
76,482,IT,North,Basic,04-12-2022,01-09-2023,1497,4012.75,2075,Paid,8,01-09-2023,0,46,139%,Outlier,2023,September
78,472,Finance,South,Standard,01-03-2022,08-02-2023,861,1211,-350,Overdue,11,08-02-2023,1,47,-41%,Normal,2023,February
79,380,Retail,West,Basic,10-07-2022,02-01-2023,5417,7941,-2524,NA,5,02-01-2023,1,48,-47%,Normal,2023,January
80,312,Retail,South,Basic,17-08-2022,19-09-2023,4967.93,7065,-8712,NA,13,19-09-2023,1,49,-175%,Outlier,2023,September
85,436,Retail,West,Basic,02-03-2022,03-05-2022,4967.93,3289,-4561,Pending,2,03-05-2022,1,50,-92%,Normal,2022,May
86,408,Healthcare,West,Premium,22-09-2022,02-11-2023,3417,581,2836,Paid,13,02-11-2023,0,51,83%,Normal,2023,November
87,208,Finance,West,Standard,03-08-2022,14-09-2023,393,4166,-3773,NA,13,14-09-2023,1,52,-960%,Outlier,2023,September
88,295,IT,East,Standard,22-10-2022,08-09-2023,5966,430,577.01,NA,10,08-09-2023,0,53,10%,Normal,2023,September
89,218,Finance,South,Standard,18-07-2022,17-12-2023,4967.93,6221,-7849,Overdue,16,17-12-2023,1,54,-158%,Outlier,2023,December
90,493,IT,South,Basic,09-04-2022,04-10-2023,3420,6478,-3058,Overdue,17,04-10-2023,0,55,-89%,Normal,2023,October
91,233,Healthcare,West,Standard,12-05-2022,11-07-2022,4726,2548,2178,Pending,1,11-07-2022,1,56,46%,Normal,2022,July
92,118,Retail,North,Basic,05-12-2022,22-03-2024,2383,6332,-3949,Paid,15,22-03-2024,1,57,-166%,Outlier,2024,March
95,192,IT,North,Premium,18-08-2022,06-11-2023,1226,5215,-3989,Overdue,14,06-11-2023,1,58,-325%,Outlier,2023,November
96,140,IT,East,Premium,02-07-2022,02-10-2023,2434,6261,-3827,Paid,15,02-10-2023,0,59,-157%,Outlier,2023,October
97,287,Education,East,Basic,27-06-2022,22-01-2024,9736,7700,2036,NA,18,22-01-2024,0,60,21%,Normal,2024,January
98,296,Retail,West,Basic,25-08-2022,02-04-2023,4967.93,1269,-2766,Pending,7,02-04-2023,1,61,-56%,Normal,2023,April
101,112,Education,South,Premium,16-06-2022,25-03-2023,5013,4543,470,NA,9,25-03-2023,1,62,9%,Normal,2023,March
103,252,Education,West,Premium,18-11-2022,28-09-2023,3070,4012.75,3780,Overdue,10,28-09-2023,1,63,123%,Outlier,2023,September
104,308,Healthcare,East,Basic,14-09-2022,14-01-2024,7648,2611,5037,Overdue,16,14-01-2024,0,64,66%,Normal,2024,January
105,492,Finance,East,Basic,27-07-2022,07-02-2023,6771,917,5854,Pending,6,07-02-2023,0,65,86%,Normal,2023,February
106,379,Education,West,Basic,23-07-2022,05-01-2023,9755,4012.75,10048,Overdue,5,05-01-2023,0,66,103%,Outlier,2023,January
109,335,Retail,South,Basic,04-09-2022,07-03-2023,8004,3434,577.01,NA,6,07-03-2023,1,67,7%,Normal,2023,March
110,451,IT,West,Standard,04-02-2022,14-01-2023,7749,4148,577.01,Paid,11,14-01-2023,1,68,7%,Normal,2023,January
112,301,Finance,East,Basic,02-03-2022,04-07-2023,6697,3012,3685,Paid,16,04-07-2023,1,69,55%,Normal,2023,July
114,278,Education,West,Standard,11-02-2022,20-02-2023,8981,4107,4874,Paid,12,20-02-2023,1,70,54%,Normal,2023,February
117,222,Finance,West,Standard,22-07-2022,07-03-2023,5947,7508,-1561,Pending,7,07-03-2023,1,71,-26%,Normal,2023,March
118,223,Healthcare,West,Standard,31-01-2022,10-09-2023,4031,716,3315,NA,19,10-09-2023,0,72,82%,Normal,2023,September
120,372,Finance,West,Premium,05-04-2022,18-07-2023,4705,4012.75,5328,Paid,15,18-07-2023,1,73,113%,Outlier,2023,July
121,364,IT,East,Standard,21-12-2022,08-02-2023,7645,4012.75,8408,NA,1,08-02-2023,1,74,110%,Outlier,2023,February
124,270,Healthcare,South,Basic,14-08-2022,22-06-2023,4967.93,4007,-5022,Pending,10,22-06-2023,0,75,-101%,Outlier,2023,June
